"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"413",626782,817093,NA,NA,NA,NA,NA,NA,NA,NA
"414",276125,962574,NA,NA,NA,NA,NA,NA,NA,NA
"415",405780,471132,805486,1086891,NA,NA,NA,NA,NA,NA
"416",265838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",1222543,1333899,NA,NA,NA,NA,NA,NA,NA,NA
"418",196011,511087,570742,740471,1194558,NA,NA,NA,NA,NA
"419",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",74560,1058363,1375822,1392455,1451988,NA,NA,NA,NA,NA
"421",983674,1107910,1333821,NA,NA,NA,NA,NA,NA,NA
"422",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",360645,520802,605067,1020742,1173412,1281719,1287425,1301815,1425887,NA
"424",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",143139,441852,568463,1157642,1356354,NA,NA,NA,NA,NA
"426",268197,644486,753891,865368,944712,968620,1235308,NA,NA,NA
"427",480137,623091,981616,1171303,1434351,NA,NA,NA,NA,NA
"428",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",190310,190311,201289,237618,478749,894279,1008652,1097226,1192831,NA
"433",87843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",550809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",1110404,1162665,1311350,NA,NA,NA,NA,NA,NA,NA
"436",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",114174,265277,356327,787845,1287428,1457805,NA,NA,NA,NA
"438",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",1184616,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",202851,334642,NA,NA,NA,NA,NA,NA,NA,NA
"442",209632,217942,639865,810711,1348923,NA,NA,NA,NA,NA
"443",1115959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",1392751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",1287428,1332653,NA,NA,NA,NA,NA,NA,NA,NA
"446",175429,526772,555985,1217717,1226144,1361884,NA,NA,NA,NA
