"행정구역시도코드","자산총금액","종사자수_조사_총소계","산업대분류코드","주사업_산업중분류코드","주사업_산업소분류코드","주사업_산업세분류코드","주사업_산업세세분류코드"
11,,10,C,33,9,9,9
11,,11,C,10,1,2,2
11,,11,C,10,1,2,2
11,,**,C,10,2,1,9
11,,11,C,10,3,0,1
11,,11,C,10,3,0,9
11,,11,C,10,7,5,9
11,,11,C,13,2,2,3
11,,11,C,13,3,0,0
11,,11,C,13,3,0,0
11,,11,C,13,3,0,0
11,,11,C,13,3,0,0
11,,11,C,13,4,0,2
11,,11,C,13,4,0,2
11,,11,C,14,1,1,1
11,,11,C,14,1,1,1
11,,11,C,14,1,1,1
11,,11,C,14,1,1,1
11,,11,C,14,1,1,1
11,,11,C,14,1,1,1
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,1,2
11,,11,C,14,1,2,0
11,,11,C,14,1,2,0
11,,11,C,14,1,2,0
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,1
11,,11,C,14,1,9,2
11,,11,C,14,1,9,2
11,,11,C,14,1,9,2
11,,11,C,14,1,9,2
11,,11,C,14,1,9,2
11,,11,C,14,1,9,2
11,,11,C,14,1,9,3
11,,11,C,14,1,9,3
11,,11,C,14,1,9,3
11,,11,C,14,1,9,3
11,,11,C,14,1,9,3
11,,11,C,14,1,9,4
11,,11,C,14,1,9,4
11,,11,C,14,2,0,0
11,,11,C,14,2,0,0
11,,11,C,14,2,0,0
11,,11,C,14,3,0,0
11,,11,C,14,3,0,0
11,,11,C,14,3,0,0
11,,11,C,14,3,0,0
11,,11,C,14,3,0,0
11,,11,C,14,4,1,1
11,,11,C,15,1,2,1
11,,11,C,15,2,1,1
