회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,지번주소,도로명주소,매출액,자산총계,직원총수,비고,재무,...16,번호,V1,조사기준년도,시군명,행정구역명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84경도,WGS84위도,산업대분류코드,산업대분류명,산업중분류명,산업소분류명,산업세분류명,산업세세분류명,산업세세분류코드
빛샘전자,72950,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,"강만준, 강명구 (각자대표)",http://www.vissem.com,경기도,경기 용인시 기흥구 청덕동 395,경기 용인시 기흥구 언동로 53-11 빛샘전자,74104681649,83208167489,99,연결재무제표 내용을 기재함,NA,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
테크윙,89030,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",2011-11-10,12월,"나윤성, 장 남 각자대표",http://techwing.co.kr,경기도,경기 화성시 방교동 836-7,경기 화성시 동탄산단6길 37,1.14386E+11,4.74865E+11,559,NA,NA,NA,389,995599,2021,화성시,경기도 화성시 동탄6동,경기도 화성시 방교동 836-7 (주)테크윙,경기도 화성시 방교동 동탄산단6길  37-0 (주)테크윙,18487,127.0903428,37.16888377,M,"전문, 과학 및 기술 서비스업(70~73)",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부,71511
씨엔플러스,115530,전자부품 제조업,커넥터,2011-11-02,12월,정상옥,http://www.icnplus.com,경기도,경기 시흥시 정왕동 2619-7 B동,경기 시흥시 시화벤처로 305 B동,16365000000,19806000000,40,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
로보스타,90360,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",2011-10-17,12월,배병주,http://robostar.co.kr,경기도,경기 수원시 권선구 고색동 997,경기 수원시 권선구 산업로155번길 37,1.02115E+11,1.16016E+11,185,NA,NA,NA,391,1041715,2021,수원시,경기도 수원시 권선구 평동,경기도 수원시 권선구 고색동 997 2,경기도 수원시 권선구 평동 산업로155번길  37    2 ,16648,126.9800848,37.24390763,C,제조업(10~34),기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업,29280
아이씨디,40910,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",2011-08-05,12월,이승호,http://www.icd.co.kr,경기도,경기 안성시 대덕면 소내리 321-1,경기 안성시 대덕면 만세로 274,47046487283,1.94904E+11,308,NA,NA,NA,392,116162,2021,안성시,경기도 안성시 대덕면,경기도 안성시 대덕면 소내리 321-1,경기도 안성시 대덕면 만세로  274- ,17542,127.2216838,37.03855851,C,제조업(10~34),기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,29272
제닉,123330,기타 화학제품 제조업,"하이드로겔 마스크 팩, 기타화장품",2011-08-03,12월,허남,http://genic21.com,경기도,경기 성남시 분당구 삼평동 612-3,경기 성남시 분당구 판교로255번길 34,28069766610,23393058750,191,NA,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF랩스,139050,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29,12월,한상우,NA,경기도,경기 안양시 만안구 석수동 825-1 3층,경기 안양시 만안구 예술공원로 153-32 3충,20944107562,56148556295,120,NA,NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
옵티시스,109080,통신 및 방송 장비 제조업,광링크 모듈 등,2011-07-12,12월,신현국,http://www.opticis.com,경기도,경기 성남시 수정구 신흥동 2478 3층 301호,경기 성남시 수정구 산성대로 305 3층 301호,21994615123,58077393090,98,"소규모기업에 해당하며, 기업공시서식 작성기준에 따라 이 항목의 기재를 생략
재무제표 내용을 기재함",NA,NA,395,48062,2021,성남시,경기도 수정구 신흥3동,경기도 성남시 수정구 신흥동 2478 삼부르네상스빌딩 3층 메리츠화재,경기도 성남시 수정구 신흥3동 산성대로  305- 삼부르네상스빌딩 3층 메리츠화재,13354,127.1506025,37.44247793,K,금융 및 보험업(64~66),금융 및 보험관련 서비스업,보험 및 연금관련 서비스업,보험 및 연금관련 서비스업,보험 대리 및 중개업,66202
넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등",2011-06-14,12월,진광(Chen Guang),NA,경기도,경기 안양시 동안구 관양동 1665-2,경기 안양시 동안구 동편로13번길 65,8405698981,98107955051,37,NA,NA,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
윈스,136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",2011-05-02,12월,김보연,http://www.wins21.co.kr,경기도,경기 성남시 분당구 삼평동 625 판교세븐벤처밸리1 윈스동 4F,경기 성남시 분당구 판교로228번길 15 판교세븐벤처밸리1 윈스동 4F,1.01692E+11,2.11694E+11,470,NA,NA,NA,397,1112245,2021,성남시,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 삼평동 625 0 판교세븐벤처밸리1 3동 3 301,경기도 성남시 분당구 삼평동 판교로228번길  15 0 판교세븐벤처밸리1 3동 3  301,13487,127.100886,37.4016776,M,"전문, 과학 및 기술 서비스업(70~73)",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업,70113
한국종합기술,23350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",2011-04-28,12월,김치헌,http://www.kecc.co.kr,경기도,경기 하남시 덕풍동 744,경기 하남시 덕풍동로 111-21,3.76919E+11,3.81181E+11,1698,NA,NA,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16,12월,이범권,NA,경기도,NA,NA,1.1911E+12,9.01681E+11,425,NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
케이아이엔엑스,93320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,2011-02-08,12월,김지욱,http://www.kinx.net,경기도,경기 과천시 갈현동 422,경기 과천시 과천대로7나길 34 4층,"87,887,311,707?","216,858,365,699?",155,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB세미콘,61970,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,김남석,http://www.lbsemicon.com,경기도,경기 평택시 청북읍 율북리 1027-1,경기 평택시 청북읍 청북산단로 138,2.50949E+11,5.9942E+11,692,NA,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
딜리,131180,컴퓨터 및 주변장치 제조업,디지털 UV 프린터,2011-01-31,12월,최근수,NA,경기도,경기 동두천시 동두천동 542-2,경기 동두천시 강변로702번길 30,25633924000,66300680000,75,NA,NA,NA,402,260008,2021,동두천시,경기도 동두천시 소요동,경기도 동두천시 동두천동 542-2,경기도 동두천시 소요동 강변로702번길  30- ,11303,127.0514468,37.92865477,C,제조업(10~34),"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변 장치 제조업,기억 장치 및 주변 기기 제조업,컴퓨터 프린터 제조업,26323
제이엔케이글로벌,126880,일반 목적용 기계 제조업,"산업용가열로, 수소충전소",2011-01-31,12월,김방희,http://www.jnkheaters.co.kr,경기도,경기 성남시 수정구 시흥동 340 A동 10층,경기 성남시 수정구 창업로 43 A동 10층,1.66706E+11,2.92993E+11,103,NA,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
인트론바이오,48530,기초 의약물질 제조업,"바이오 신약, 분자진단제품, 동물용항생제대체재",2011-01-26,12월,"윤성준, 윤경원(각자대표)",http://www.intron.co.kr/,경기도,경기 성남시 중원구 상대원동 138-6 중앙인더스피아 5차 701~704호,경기 성남시 중원구 사기막골로 137 중앙인더스피아5차 701~704호,9585444181,98213091873,77,NA,NA,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
시디즈,134790,가구 제조업,의자,2011-01-25,12월,강성문,http://www.sidiz.com,경기도,경기 평택시 세교동 536-12,경기 평택시 세교산단로 67-20,2.00136E+11,95079294654,169,연결재무제표 내용을 기재함,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
대정화금,120240,기초 화학물질 제조업,"시약, 원료의약품",2010-12-20,12월,송영준,http://www.daejung.kr,경기도,경기 시흥시 정왕동 1235-8 대정화금㈜,경기 시흥시 서해안로 186 대정화금(주),93282650935,1.96329E+11,190,NA,NA,NA,406,957209,2021,시흥시,경기도 시흥시 정왕3동,경기도 시흥시 정왕동 1235-8 시화공단,경기도 시흥시 정왕3동 서해안로  186- 시화공단,15087,126.7048705,37.3473355,C,제조업(10~34),화학 물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업,20499
에이루트,96690,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터",2010-12-01,12월,서문동군,http://www.aroot.co.kr,경기도,경기 오산시 가장동 374-2,경기 오산시 가장산업동로 28-6,45811000000,1.57355E+11,80,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
시그네틱스,33170,반도체 제조업,반도체 패키징,2010-11-26,12월,송영희,http://www.signetics.com,경기도,경기 파주시 탄현면 법흥리 497-19,경기 파주시 탄현면 평화로 711,1.85485E+11,1.53283E+11,113,NA,NA,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGF에코머티리얼즈,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.bgfecomaterials.com,경기도,경기 화성시 장안면 장안리 525-1,경기 화성시 장안면 상두원길 142,1.70253E+11,3.82557E+11,165,NA,NA,NA,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
위메이드플레이,123420,소프트웨어 개발 및 공급업,모바일게임,2010-11-10,12월,이호대,http://corp.wemadeplay.com,경기도,경기 성남시 분당구 서현동 263 9층 위메이드플레이,경기 성남시 분당구 황새울로360번길 42 9층 위메이드플레이,55150358213,2.6186E+11,248,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KH 미래물산,111870,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,배보성,http://www.esambon.com,경기도,경기 부천시 오정구 삼정동 204,경기 부천시 오정구 삼작로107번길 52,7890893160,79196168401,38,NA,NA,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
누리플랜,69140,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설",2010-10-26,12월,이형기,http://www.nuriplan.com,경기도,경기도 김포시 대곶면 송마리 329-1,경기도 김포시 대곶면 대곶로202번길 191,1.22181E+11,1.51449E+11,53,연결재무제표 내용을 기재함,NA,NA,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
